,Attr2,Attr8,Attr9,Attr10,Attr15,Attr16,Attr17,Attr22,Attr26,Attr27,Attr34,Attr46,Attr64,class
53,0.25257,1.7099,1.1214,0.43188,909.61,0.40127,3.9592,0.061628,0.32519,1.2536,0.244,0.46686,0.59305,0
57,1.1276,-0.13107,1.0452,-0.1478,-8366.0,-0.043629,0.88681,0.021127,-0.043629,0.18161,0.018736,0.36828,4.9308,0
60,0.66837,0.47465,1.1808,0.31724,1258.8,0.28997,1.4962,0.20856,0.24786,1.7831,0.31204,0.99971,3.1464,0
67,0.51071,0.81992,1.0127,0.41874,4855.5,0.075172,1.9581,0.013168,0.064085,0.11799,0.025783,1.0679,3.336,0
68,0.4221,1.3691,1.2111,0.5779,825.14,0.44235,2.3691,0.17086,0.3618,1.6989,0.40479,1.5925,2.7913,0
87,0.15833,4.8871,1.0479,0.77375,465.26,0.78451,6.316,0.06361,0.6599,0.37191,0.40176,1.9239,2.7841,0
89,0.35517,1.454,1.1101,0.51641,729.74,0.50018,2.8155,0.11481,0.42934,1.0186,0.32326,0.84466,2.6333,0
90,0.33233,1.6282,1.0892,0.54111,882.42,0.41364,3.009,0.094176,0.36319,1.7021,0.28338,0.87409,0.78343,0
95,0.39263,1.4895,0.78853,0.58483,2067.7,0.17653,2.5469,0.090528,0.13714,1.6161,1.6299,1.8078,2.0654,0
97,0.20486,2.5815,0.95163,0.52886,-1334.7,-0.27347,4.8813,-0.11291,-0.19362,-0.47723,-0.55115,2.503,5.1659,0
101,0.35435,1.7437,1.075,0.61787,1635.5,0.22317,2.822,0.061092,0.19789,0.68319,0.1724,0.73426,2.2738,0
102,0.32835,2.0455,1.0654,0.67165,1453.9,0.25105,3.0455,0.059764,0.21928,0.71003,0.18201,0.74056,1.3771,0
104,0.23411,3.2689,1.0699,0.76529,599.66,0.60868,4.2714,0.10979,0.49958,13.074,2.9087,2.0895,2.4701,0
105,0.25529,2.8939,1.0495,0.73878,547.23,0.66699,3.9171,0.06202,0.63418,0.4938,0.24294,0.67321,1.7421,0
106,0.556,0.67897,1.1079,0.37751,1406.3,0.25955,1.7986,0.16063,0.21404,1.0477,0.2889,0.97883,7.9047,0
107,0.83466,0.056237,1.1738,0.046938,2583.1,0.1413,1.1981,0.20998,0.1264,1.977,0.25157,0.1693,1.9462,0
109,0.65839,0.43346,1.0469,0.28538,16869.0,0.021637,1.5189,0.093488,0.034359,0.42391,0.142,1.0699,7.5006,0
113,0.80367,0.2443,1.0414,0.19633,7891.8,0.04625,1.2443,0.05241,0.041944,0.55047,0.065214,0.51878,1.861,0
115,0.21718,3.5505,1.0039,0.7711,547.35,0.66685,4.6044,0.013523,0.63197,0.10995,0.062266,2.0755,3.8626,0
123,0.34552,1.84,1.013,0.63578,1485.6,0.24569,2.8942,0.017489,0.23941,0.12763,0.050616,1.5468,4.737,0
126,1.3933,-0.42049,1.0476,-0.58587,-84870.0,-0.0043007,0.71772,0.08185,-0.0043007,0.4094,0.058746,0.55448,11.367,0
135,0.59812,0.64679,1.1097,0.38686,971.96,0.37553,1.6719,0.14146,0.30177,0.81302,0.2365,2.1166,5.7471,0
136,0.95858,-0.059735,1.0096,-0.057261,-114390.0,-0.0031909,1.0432,0.048339,-0.0049172,0.26278,0.050427,0.38174,6.2615,0
137,0.6065,0.60792,1.0629,0.3687,1437.5,0.25391,1.6488,0.11696,0.21184,0.63978,0.19285,1.1757,11.521,0
138,0.70033,0.34071,0.98144,0.23861,3756.0,0.097179,1.4279,0.059554,0.09044,0.56227,0.085038,0.57988,2.4758,0
143,0.54577,0.7972,1.1756,0.43509,894.45,0.40807,1.8323,0.22617,0.33654,1.8644,0.41441,1.0463,3.9404,0
144,0.54577,0.7972,1.1756,0.43509,894.45,0.40807,1.8323,0.22617,0.33654,1.8644,0.41441,1.0463,3.9404,0
145,0.31803,1.9452,1.0014,0.61864,2809.1,0.12993,3.1444,0.0066317,0.13234,0.053791,0.020852,0.9244,2.0289,0
156,0.76494,0.29748,1.0461,0.22755,4487.5,0.081337,1.3073,0.087093,0.071406,0.46244,0.11386,0.89786,7.3591,0
168,0.45504,1.1976,1.0582,0.54496,1935.8,0.18856,2.1976,0.022012,0.1696,0.2064,0.048374,1.4802,3.7108,0
171,0.4227,1.3657,0.94814,0.5773,3140.2,0.11623,2.3657,0.076608,0.10597,1.244,1.6524,1.3071,2.0944,0
176,0.46532,1.0219,1.0041,0.4755,2064.8,0.17677,2.1491,0.086678,0.14995,1.071,0.18628,0.45331,1.2453,0
187,0.68155,0.41135,1.0907,0.28036,-31261.0,-0.011676,1.4672,0.048126,-0.0095942,0.7623,0.070612,0.53706,1.9701,0
197,0.119,7.2234,1.2009,0.8596,168.2,2.17,8.4032,0.17191,1.8295,1.8425,1.4446,4.2571,3.6392,0
199,0.66564,0.47956,1.0076,0.31921,6806.9,0.053622,1.5023,0.02487,0.05929,0.068346,0.037362,0.72434,10.562,0
200,0.15513,5.4326,0.8776,0.84275,-436.45,-0.83629,6.4462,-0.16159,-0.83794,-1.3825,-1.0417,0.93023,2.3376,0
204,0.60218,0.64837,1.0021,0.39044,-3912.8,-0.093284,1.6606,-0.021648,-0.060912,-0.12771,-0.03595,0.43948,3.5073,0
205,0.28236,2.4956,0.98267,0.70466,-2468.7,-0.14785,3.5415,-0.054873,-0.080624,-0.29484,-0.19433,2.1143,8.5097,0
206,0.26362,2.5561,1.1916,0.67384,489.5,0.74566,3.7934,0.15173,0.57571,1.269,0.57559,2.0606,9.8572,0
209,0.63921,0.56444,1.3268,0.36079,680.86,0.53609,1.5644,0.32658,0.53609,3.1594,0.51091,0.74726,3.2651,0
211,0.93251,0.057321,1.0239,0.053452,-1777.2,-0.20538,1.0724,0.022292,-0.20538,0.22899,0.023906,0.50431,6.1895,0
217,0.3423,1.9214,0.95991,0.6577,23386.0,0.015608,2.9214,0.0049234,0.021172,0.046466,0.014383,1.3091,2.1038,0
218,0.84608,0.18192,1.0219,0.15392,9048.8,0.040337,1.1819,0.040897,0.013569,0.20935,0.048337,1.0336,4.2133,0
219,0.60483,0.6112,1.0113,0.36967,30689.0,0.011893,1.6534,0.035009,0.014795,0.12126,0.057883,0.62949,10.794,0
220,0.26938,2.6891,1.1172,0.72439,1092.8,0.33401,3.7122,0.13139,0.3045,1.2782,0.48776,1.2593,2.3051,0
222,0.52522,0.66043,1.1918,0.34687,3038.1,0.12014,1.904,0.074741,0.12014,1.7343,0.1423,1.5862,3.2515,0
223,0.64546,0.53175,1.0228,0.34322,23858.0,0.015299,1.5493,0.045191,0.032828,0.30836,0.070014,0.73837,3.066,0
224,0.57855,0.65677,1.0651,0.37997,2565.5,0.14227,1.7285,0.14038,0.14024,1.3138,0.24264,1.0025,3.4819,0
229,0.25363,2.8309,1.2157,0.71799,364.69,1.0009,3.9428,0.20764,0.83313,2.1016,0.81869,2.5264,3.9027,0
231,0.1351,6.233,1.0041,0.84207,530.45,0.6881,7.402,-0.01163,0.66541,-0.086689,-0.086086,1.8436,2.2506,0
232,0.92265,0.025811,0.92336,0.023814,-4803.6,-0.075984,1.0838,-0.043529,-0.075984,-0.2277,-0.047178,0.78568,3.3011,0
233,0.30421,2.1433,1.0973,0.65202,408.53,0.89344,3.2872,0.12773,0.81221,1.1362,0.41986,2.1363,2.2157,0
235,0.37785,1.5689,1.0808,0.59281,1073.3,0.34009,2.6466,0.091054,0.29463,0.53375,0.24098,0.80962,4.0487,0
236,0.22818,3.2665,1.0276,0.74533,945.13,0.38619,4.3826,0.038082,0.40426,0.24876,0.1669,0.80471,2.3833,0
242,0.51468,0.89084,1.0986,0.4585,922.93,0.39548,1.943,0.19982,0.39548,0.99189,0.38825,1.0814,14.568,0
246,0.1809,4.4666,1.2246,0.808,239.42,1.5245,5.528,0.22414,1.5245,1.8793,1.239,3.7836,5.0374,0
276,0.36404,1.6753,1.0644,0.60986,1187.1,0.30747,2.7469,0.11778,0.25752,0.62323,0.32352,1.2835,4.8973,0
277,0.4032,1.4777,1.2467,0.59579,615.85,0.59268,2.4802,0.2469,0.48654,2.3644,0.61237,1.0001,3.2796,0
279,0.37916,1.6374,0.62277,0.62084,-2910.7,-0.1254,2.6374,-0.028596,-0.11055,-0.24106,1.4807,1.1907,1.2937,0
281,0.61404,0.62856,1.0801,0.38596,1173.9,0.31094,1.6286,0.16572,0.25831,0.78205,0.26988,0.99205,6.8868,0
282,0.42887,1.1027,1.1289,0.47293,506.81,0.72019,2.3317,0.24429,0.60055,1.3036,0.56962,1.0314,3.9626,0
285,0.47292,1.0677,0.99824,0.50492,8794.1,0.041505,2.1145,0.0068814,0.065364,0.045562,0.014551,0.53948,3.4335,0
288,0.5808,0.6766,1.0112,0.39297,912.35,0.40006,1.7218,0.01277,0.37627,0.088173,0.021987,1.4228,3.6304,0
292,0.30334,1.7237,1.1828,0.52287,366.58,0.99569,3.2966,0.26794,0.81273,1.6035,0.88329,1.6977,5.7853,0
298,0.60949,0.56565,1.3562,0.34476,1109.8,0.32888,1.6407,0.30175,0.27768,3.3437,0.49509,1.9708,3.5484,0
302,0.21349,3.6841,1.061,0.78651,300.88,1.2131,4.6841,0.15507,1.0572,0.56626,0.72638,1.5259,7.4509,0
309,1.0655,-0.082871,0.87697,-0.088302,-4432.3,-0.08235,0.93849,-0.17014,-0.096545,-1.228,-0.15968,0.31496,4.3254,0
310,0.21392,3.2983,0.86989,0.70556,1055.1,0.34595,4.6747,0.020613,0.29575,0.17332,0.096359,1.6706,1.885,0
311,0.22772,2.7498,0.84708,0.62618,485.57,0.7517,4.3914,0.094668,0.6433,0.66342,0.41573,1.1611,2.663,0
312,0.29698,2.2174,0.97097,0.65853,927.11,0.3937,3.3672,-0.055623,0.5134,-0.25853,-0.18729,2.2061,8.1276,0
321,0.944,0.034614,1.043,0.032675,2262.1,0.16135,1.0593,0.025605,0.15703,0.18013,0.027124,2.1059,2.8312,0
322,0.31917,1.893,1.0343,0.60419,695.52,0.52479,3.1331,0.14484,0.47071,0.92198,0.45379,0.70466,2.5575,0
323,0.46888,0.80264,0.90491,0.37634,984.15,0.37088,2.1327,0.097885,0.37088,0.7394,0.20876,0.79725,1.7637,0
329,0.30466,2.2824,2.0996,0.69534,150.87,2.4193,3.2824,0.0,2.4193,0.0,3.3279,1.9502,5.8064,0
330,0.16199,4.9357,1.1252,0.79955,195.45,1.8675,6.1731,0.23144,1.5097,1.2526,1.4287,4.9913,65.174,0
337,0.31884,2.1364,1.0687,0.68116,748.12,0.48789,3.1364,0.072407,0.41145,0.62598,0.2271,1.9883,3.5173,0
344,0.53654,0.80068,1.0695,0.4296,1431.4,0.255,1.8638,0.12791,0.20322,0.65253,0.2384,0.94356,15.892,0
371,0.39502,1.5315,1.0457,0.60498,1372.0,0.26603,2.5315,0.14525,0.22604,2.17,1.7325,1.1742,2.8672,0
373,0.27996,2.3867,0.97072,0.66818,506.12,0.72117,3.5719,0.067639,0.70016,0.33313,0.2416,0.56876,4.2722,0
374,0.26644,2.674,0.98216,0.71245,1907.5,0.19135,3.7532,-0.0045485,0.19135,-0.040302,-0.017071,0.20223,1.7439,0
378,0.91004,0.09505,1.0831,0.086499,2309.4,0.15805,1.0989,0.15295,0.18216,0.72382,0.16807,0.76097,31.762,0
379,0.60865,0.50296,1.0074,0.30613,7368.1,0.049538,1.643,0.023113,0.053198,0.13219,0.037975,0.55626,3.3854,0
380,0.7526,0.29054,1.3822,0.21866,4511.6,0.080902,1.3287,0.46369,0.080902,3.9789,0.61611,0.77334,5.086,0
382,0.70212,0.34649,1.0309,0.24328,2179.5,0.16747,1.4243,0.071823,0.15076,0.36549,0.10229,0.49363,4.2606,0
383,1.2143,-0.26397,1.1065,-0.32053,2157.9,0.16915,0.82353,0.16357,0.16913,1.0132,0.13471,0.37809,3.5574,0
385,0.46364,1.0533,1.0715,0.48835,1154.8,0.31608,2.1568,0.13298,0.26303,0.78178,0.28682,0.98755,3.8551,0
386,0.25007,2.9624,1.0699,0.7408,394.9,0.92429,3.9989,0.13644,0.92429,0.7114,0.54562,1.6291,4.4013,0
387,0.38897,1.5706,1.0359,0.61092,665.79,0.54822,2.5709,0.13383,0.50052,0.47617,0.34406,1.2885,6.4925,0
393,0.1186,7.4319,1.6655,0.8814,-729.47,-0.50036,8.4319,-0.24435,-0.50036,-10.391,15.914,2.5502,2.8635,0
395,0.53642,0.8642,1.5698,0.46358,-2763.4,-0.13209,1.8642,-0.060421,-0.096641,-1.3755,2.9229,1.0206,2.7628,0
397,0.19147,3.9258,1.0564,0.75169,828.45,0.44058,5.2227,0.035519,0.41206,0.30889,0.1855,0.51227,1.4695,0
398,0.46639,0.70519,1.1048,0.32889,1158.3,0.31513,2.1441,0.14555,0.23074,1.1123,0.31208,0.69887,1.7853,0
399,0.52445,0.90675,1.1094,0.47555,446.66,0.81717,1.9067,0.40983,0.6665,1.0349,0.78145,1.2706,14.635,0
400,0.39097,1.5578,1.0927,0.60903,361.03,1.011,2.5578,0.33777,0.8367,0.92873,0.86394,1.2899,18.266,0
402,0.76706,0.30369,0.9803,0.23294,-2041.5,-0.17879,1.3037,-0.052573,-0.13949,-0.31357,-0.068538,0.38632,3.9914,0
405,0.74663,0.33935,4.094,0.25337,1361.0,0.26819,1.3393,0.19069,0.26819,4.4995,5.1729,1.0369,20.373,0
406,0.92604,0.07987,3.4453,0.073962,-30142.0,-0.012109,1.0799,0.0,-0.012109,0.0,3.0045,0.42187,5.907,0
408,0.51931,0.92563,1.7883,0.48069,-5439.2,-0.067105,1.9256,0.019886,-0.037492,0.16089,3.2857,0.34038,2.8014,0
410,0.64985,0.53883,1.4039,0.35015,2028.0,0.17998,1.5388,0.18595,0.15082,1.614,1.8791,0.52508,2.7616,0
411,0.88799,0.081864,1.0484,0.072695,4559.8,0.080048,1.1261,0.067152,0.080048,0.55008,0.075623,0.58187,2.3498,0
412,0.43845,1.1844,1.0917,0.51928,978.2,0.37314,2.2808,0.15817,0.31402,0.81943,0.36074,1.0047,6.4059,0
413,0.46287,1.1604,0.44897,0.53713,1650.4,0.22116,2.1604,0.083981,0.20774,2.2187,0.77603,0.82941,0.49366,0
417,0.49813,1.0075,0.9712,0.50187,-1027.9,-0.35509,2.0075,-0.20554,-0.2829,-1.2901,-0.41263,0.37708,2.3202,0
418,0.33319,2.0013,0.983,0.66681,-1655.6,-0.22046,3.0013,-0.13745,-0.14111,-0.58999,-0.41254,0.70805,3.5472,0
419,0.23313,2.506,1.1828,0.58424,182.78,1.997,4.2894,0.39984,1.9302,1.7727,1.7151,3.122,14.214,0
420,0.22852,3.376,2.3087,0.77148,898.44,0.40626,4.376,0.038088,0.38326,3.4633,10.409,6.2925,5.7695,0
422,0.59731,0.67419,2.73,0.40269,3546.9,0.10291,1.6742,0.037538,0.10078,0.91709,4.5112,0.70826,6.8,0
423,0.90072,0.11022,2.5595,0.099279,4214.6,0.086604,1.1102,0.06562,0.08733,0.62421,2.8618,0.47821,9.7325,0
425,0.99206,0.0080031,1.2043,0.0079396,-2212.9,-0.16494,1.008,-0.099238,-0.16457,-1.5245,1.2515,0.14128,1.93,0
426,0.38172,1.4049,1.2578,0.53629,337.14,1.0826,2.6197,0.44463,0.77459,2.3535,1.1648,1.3046,6.3531,0
430,0.24322,3.1115,3.169,0.75678,361.95,1.0084,4.1115,0.15307,1.0084,19.552,12.317,3.3396,10.203,0
431,0.31347,2.1901,1.2597,0.68653,1051.4,0.34717,3.1901,0.048986,0.34717,3.9522,3.8708,0.76354,2.5455,0
440,0.37918,1.5241,1.2357,0.57792,414.08,0.88148,2.6373,0.24685,0.75929,2.6306,0.65101,1.5851,1.472,0
441,1.1342,-0.1181,0.94096,-0.13395,-2721.7,-0.13411,0.88171,-0.19257,-0.13411,-8.4679,1.0186,0.39567,2.589,0
443,0.59792,0.67115,1.0709,0.4013,1471.1,0.24812,1.6725,0.093649,0.23897,0.68446,0.15663,0.64788,2.1963,0
444,0.19782,3.9888,1.0035,0.78906,874.69,0.41729,5.0552,0.015131,0.38876,0.030408,0.07649,2.2597,20.521,0
447,0.80786,0.23784,1.5976,0.19214,-1396.2,-0.26143,1.2378,-0.2272,-0.26143,-11.12,2.2029,0.34959,2.1594,0
448,0.98635,0.013843,2.4219,0.013654,-3920.2,-0.093106,1.0138,-0.055993,-0.093106,-0.48985,2.5815,0.31164,6.7764,0
450,0.37168,1.6599,0.96778,0.61697,-3856.1,-0.094655,2.6905,-0.031884,-0.096483,-0.34877,-0.085783,0.41999,1.6487,0
452,0.17199,4.603,1.1392,0.79168,327.1,1.1159,5.8143,0.092258,1.0056,0.67982,0.53642,1.8649,3.63,0
453,1.0073,-0.0072342,0.79207,-0.007287,4382.7,0.083281,0.99277,0.092276,0.077111,1.8437,0.69615,0.8267,1.1689,0
455,0.35471,1.8192,2.6033,0.64529,640.76,0.56964,2.8192,0.20131,0.49539,11.414,7.3077,2.5212,28.042,0
458,0.082051,11.058,1.0464,0.90728,338.11,1.0795,12.188,0.015917,1.0131,0.29577,0.19399,2.3167,0.71922,0
459,0.12513,6.9918,1.0115,0.87487,207.57,1.7584,7.9918,0.16106,1.4838,49.828,6.6993,3.6048,2.1306,0
463,0.29312,2.4116,1.8274,0.70688,327.96,1.113,3.4116,0.28193,0.95409,14.593,5.2313,3.8006,8.9033,0
465,0.29786,2.3573,2.3332,0.70214,425.52,0.85777,3.3573,0.20921,0.72695,23.529,7.1343,2.375,6.4512,0
466,0.31782,2.1259,1.2334,0.67566,330.96,1.1028,3.1464,0.30792,0.92467,2.6262,0.96886,1.5072,3.3674,0
469,0.3424,1.9205,1.115,0.6576,436.79,0.83564,2.9205,0.27261,0.67635,1.0662,0.79615,1.395,20.714,0
470,0.49083,1.0374,4.0899,0.50917,1075.0,0.33955,2.0374,0.11641,0.29172,9.9942,8.125,1.167,9.732,0
471,0.83834,0.19283,1.4712,0.16166,-3643.9,-0.10017,1.1928,-0.093643,-0.10017,-4.3494,1.8463,0.51013,2.7689,0
474,0.4912,1.0358,2.8966,0.5088,785.71,0.46455,2.0358,0.15819,0.46455,26.916,5.5769,1.5882,6.4276,0
476,0.97172,0.029106,1.5945,0.028283,-3055.1,-0.11947,1.0291,-0.1158,-0.124,-4.1066,1.7987,0.97292,4.3491,0
481,0.42448,1.3558,1.1287,0.57552,2069.8,0.17635,2.3558,0.077574,0.15333,1.2892,0.18275,0.49861,0.80639,0
482,0.057468,16.401,0.94132,0.94253,112.25,3.2517,17.401,0.094775,2.9139,51.124,14.588,10.724,1.8513,0
483,0.56315,0.7633,1.1125,0.42985,827.76,0.44095,1.7757,0.22906,0.37049,1.1747,0.40675,0.93154,4.6991,0
484,0.56315,0.7633,1.1125,0.42985,827.76,0.44095,1.7757,0.22906,0.37049,1.1747,0.40675,0.93154,4.6991,0
487,0.47796,1.0922,1.4219,0.52204,962.73,0.37913,2.0922,0.18393,0.30904,8.3391,2.59,0.80199,6.249,0
493,0.3173,2.1039,1.2151,0.66756,408.03,0.89453,3.1516,0.21205,0.77404,2.2809,0.6683,2.0798,1.574,0
497,0.33544,1.9011,1.0158,0.6377,3106.5,0.1175,2.9812,-0.0078513,0.13006,-0.060443,-0.023406,0.69869,1.7575,0
500,0.47394,1.0703,1.023,0.50728,12627.0,0.028906,2.11,0.0096585,0.052565,0.081304,0.020379,0.71964,2.3506,0
501,0.025161,33.279,1.0377,0.83732,17.294,21.105,39.745,0.031483,17.371,0.91893,1.2513,30.455,0.94709,0
502,0.51854,0.82391,1.0993,0.42723,1162.9,0.31387,1.9285,0.099536,0.28533,0.95654,0.19195,0.5093,1.8254,0
503,0.22605,3.2937,1.3646,0.74455,266.64,1.3689,4.4237,0.24324,1.1548,3.5817,1.076,0.89788,1.2449,0
505,0.83202,0.042155,1.1443,0.035074,10005.0,0.036483,1.2019,0.024798,0.014189,0.27264,0.029805,0.56768,1.4374,0
507,0.68139,0.412,0.91001,0.28073,-2894.8,-0.12609,1.4676,-0.13717,-0.12594,-1.9882,-0.2013,0.093517,0.91395,0
512,0.66719,0.49883,0.91494,0.33281,2882.7,0.12662,1.4988,0.068047,0.1263,12.952,1.2625,0.33136,2.0697,0
513,0.82319,0.20311,1.0249,0.16719,3232.1,0.11293,1.2148,0.090379,0.090052,0.47461,0.10979,0.5338,4.9261,0
514,0.51826,0.92953,1.2497,0.48174,1090.6,0.33468,1.9295,0.12887,0.29008,2.4085,0.24867,1.7802,1.1428,0
515,0.27329,2.6591,0.51962,0.72671,314.24,1.1615,3.6591,0.01234,1.1615,1.974,0.54675,0.79371,0.6845,0
516,0.77777,0.28573,1.5713,0.22223,-2665.1,-0.13696,1.2857,-0.11768,-0.13696,-2.9197,2.1473,0.15955,2.1497,0
517,0.18362,4.4459,1.1955,0.81638,330.2,1.1054,5.4459,0.15113,1.1611,2.0146,0.82303,1.7709,1.2339,0
518,0.2773,2.6062,0.59103,0.7227,1529.6,0.23862,3.6062,0.034225,0.21649,5.4288,1.6913,0.71976,0.93598,0
519,0.42679,1.142,1.1718,0.4874,1096.5,0.33286,2.3431,0.13991,0.3245,1.6897,0.32782,0.84803,1.8886,0
520,0.34863,1.8684,1.0908,0.65137,888.74,0.4107,2.8684,0.12023,0.4107,0.89411,0.34487,0.32527,2.7067,0
521,0.38754,1.5804,1.0691,0.61246,1605.1,0.2274,2.5804,0.0,0.2274,0.0,1.8242,0.82873,2.0694,0
523,0.36399,1.7348,1.3125,0.63144,488.76,0.74678,2.7473,0.22271,0.74154,3.1294,0.61186,8.3466,2.1776,0
524,0.25739,2.8851,1.7909,0.74261,338.66,1.0778,3.8851,0.20775,1.0778,16.669,6.0863,2.6438,2.8212,0
525,0.49931,1.0027,1.2643,0.50067,1222.6,0.29854,2.0028,0.21798,0.24865,2.5882,0.43655,1.1412,1.799,0
527,0.5549,0.79763,1.0453,0.44261,1112.1,0.32821,1.8021,0.1633,0.27097,0.68675,0.29428,0.40772,5.1153,0
529,0.17874,4.3281,1.119,0.77362,305.24,1.1958,5.5946,0.1612,1.1424,2.3206,0.90184,2.4675,2.003,0
530,0.20758,3.8174,1.1435,0.79242,476.71,0.76566,4.8174,0.12904,0.76089,1.4466,0.62165,2.055,2.7577,0
531,0.13951,6.1677,1.116,0.86049,507.76,0.71884,7.1677,0.058935,0.68826,1.1955,0.42243,3.3375,1.3666,0
532,0.13839,6.2259,1.1246,0.86161,486.17,0.75077,7.2259,0.066679,0.64269,1.2378,0.48182,3.5218,1.3196,0
534,0.10137,8.6318,1.1976,0.875,158.44,2.3037,9.8648,0.18652,2.2959,1.9782,1.84,5.0542,3.8647,0
536,0.47942,0.84722,1.045,0.40618,-654.58,-0.55761,2.0858,0.069125,-0.5571,0.51352,0.14418,0.77576,2.8299,0
537,0.19152,4.2214,0.87388,0.80848,-1988.6,-0.18355,5.2214,-0.072457,-0.1939,-1.5043,-0.37833,0.94386,0.52128,0
540,0.65689,0.50341,1.0862,0.33069,835.83,0.43669,1.5223,0.28228,0.37839,1.2596,0.42971,1.0159,16.22,0
541,0.73142,0.3672,1.7773,0.26858,3972.8,0.091875,1.3672,0.069731,0.091875,10.102,2.3336,1.3284,5.0613,0
542,0.62459,0.54988,1.0673,0.34345,2210.9,0.16509,1.601,0.05754,0.14828,0.54376,0.092124,0.51041,1.7883,0
543,0.55601,0.77762,1.0634,0.43236,950.73,0.38391,1.7985,0.16368,0.32864,0.6193,0.29439,1.1034,6.9189,0
549,0.5907,0.6929,0.83214,0.4093,1203.1,0.30339,1.6929,0.16041,0.25181,268.66,1.139,1.7795,1.1858,0
551,0.59256,0.66511,1.0729,0.39412,1836.7,0.19873,1.6876,0.20122,0.20455,1.1532,0.33958,1.3203,3.4406,0
554,0.57596,0.014411,0.72886,0.0083003,-2281.9,-0.15996,1.7362,-0.17663,-0.083307,-2.3063,-0.30666,0.28605,0.65619,0
555,0.55698,0.77773,1.0255,0.43318,2329.8,0.15667,1.7954,0.022892,0.14492,0.25054,0.041101,0.56984,1.5664,0
560,0.33246,2.0078,1.4157,0.66754,1611.5,0.2265,3.0078,0.048284,0.19348,2.242,4.0985,1.841,2.9484,0
562,0.51896,0.89428,1.1054,0.46409,2529.6,0.14429,1.9269,0.036468,0.13372,1.2253,0.070271,0.52698,0.35414,0
566,0.47106,1.1229,1.0367,0.52894,1363.3,0.26773,2.1229,0.080848,0.24131,0.71084,0.17163,1.3893,1.8975,0
568,0.2596,2.7284,1.2105,0.70828,318.6,1.1456,3.8521,0.24276,1.1456,2.2909,0.93512,1.201,2.2804,0
571,0.42977,1.3268,0.96698,0.57023,673.69,0.54179,2.3268,0.16589,0.47443,5.3774,1.8584,0.87797,1.367,0
573,0.41054,1.4125,1.0827,0.57991,770.98,0.47342,2.4358,0.15495,0.4002,0.88325,0.37742,1.4164,6.3221,0
576,0.41733,1.3734,1.1415,0.57315,413.02,0.88374,2.3962,0.32869,0.74609,1.4569,0.78761,2.7267,12.842,0
